origin,destination,dayhour,value
Metro_AlAziziyah,Metro_HamadIntlAirportT1,14,514
Metro_AlAziziyah,Metro_HamadIntlAirportT1,15,526
Metro_AlAziziyah,Metro_HamadIntlAirportT1,16,181
Metro_AlAziziyah,Metro_HamadIntlAirportT1,17,53
Metro_AlAziziyah,Metro_HamadIntlAirportT1,18,15
Metro_AlAziziyah,Metro_HamadIntlAirportT1,19,11
Metro_AlAziziyah,Metro_HamadIntlAirportT1,20,8
Metro_AlAziziyah,Metro_HamadIntlAirportT1,21,12
Metro_AlAziziyah,Metro_Joaan,0,85
Metro_AlAziziyah,Metro_Joaan,1,147
Metro_AlAziziyah,Metro_Joaan,2,65
Metro_AlAziziyah,Metro_Joaan,3,10
Metro_AlAziziyah,Metro_Joaan,6,1
Metro_AlAziziyah,Metro_Joaan,7,17
Metro_AlAziziyah,Metro_Joaan,8,27
Metro_AlAziziyah,Metro_Joaan,9,89
Metro_AlAziziyah,Metro_Joaan,10,212
Metro_AlAziziyah,Metro_Joaan,11,251
Metro_AlAziziyah,Metro_Joaan,12,272
Metro_AlAziziyah,Metro_Joaan,13,326
Metro_AlAziziyah,Metro_Joaan,14,216
Metro_AlAziziyah,Metro_Joaan,15,152
Metro_AlAziziyah,Metro_Joaan,16,79
Metro_AlAziziyah,Metro_Joaan,17,43
Metro_AlAziziyah,Metro_Joaan,18,32
Metro_AlAziziyah,Metro_Joaan,19,15
Metro_AlAziziyah,Metro_Joaan,20,30
Metro_AlAziziyah,Metro_Joaan,21,17
Metro_AlAziziyah,Metro_Joaan,22,49
Metro_AlAziziyah,Metro_Joaan,23,91
Metro_AlAziziyah,Metro_Katara,0,5
Metro_AlAziziyah,Metro_Katara,1,6
Metro_AlAziziyah,Metro_Katara,2,14
Metro_AlAziziyah,Metro_Katara,3,2
Metro_AlAziziyah,Metro_Katara,6,9
Metro_AlAziziyah,Metro_Katara,7,19
Metro_AlAziziyah,Metro_Katara,8,32
Metro_AlAziziyah,Metro_Katara,9,73
Metro_AlAziziyah,Metro_Katara,10,118
Metro_AlAziziyah,Metro_Katara,11,178
Metro_AlAziziyah,Metro_Katara,12,190
Metro_AlAziziyah,Metro_Katara,13,172
Metro_AlAziziyah,Metro_Katara,14,153
Metro_AlAziziyah,Metro_Katara,15,105
Metro_AlAziziyah,Metro_Katara,16,51
Metro_AlAziziyah,Metro_Katara,17,37
Metro_AlAziziyah,Metro_Katara,18,30
Metro_AlAziziyah,Metro_Katara,19,22
Metro_AlAziziyah,Metro_Katara,20,12
Metro_AlAziziyah,Metro_Katara,21,11
Metro_AlAziziyah,Metro_Katara,22,4
Metro_AlAziziyah,Metro_Katara,23,1
Metro_AlAziziyah,Metro_Legtaifiya,0,70
Metro_AlAziziyah,Metro_Legtaifiya,1,87
Metro_AlAziziyah,Metro_Legtaifiya,2,51
Metro_AlAziziyah,Metro_Legtaifiya,3,7
Metro_AlAziziyah,Metro_Legtaifiya,6,5
Metro_AlAziziyah,Metro_Legtaifiya,7,13
Metro_AlAziziyah,Metro_Legtaifiya,8,57
Metro_AlAziziyah,Metro_Legtaifiya,9,100
Metro_AlAziziyah,Metro_Legtaifiya,10,285
Metro_AlAziziyah,Metro_Legtaifiya,11,364
Metro_AlAziziyah,Metro_Legtaifiya,12,403
Metro_AlAziziyah,Metro_Legtaifiya,13,457
Metro_AlAziziyah,Metro_Legtaifiya,14,384
Metro_AlAziziyah,Metro_Legtaifiya,15,256
Metro_AlAziziyah,Metro_Legtaifiya,16,162
Metro_AlAziziyah,Metro_Legtaifiya,17,61
Metro_AlAziziyah,Metro_Legtaifiya,18,52
Metro_AlAziziyah,Metro_Legtaifiya,19,48
Metro_AlAziziyah,Metro_Legtaifiya,20,25
Metro_AlAziziyah,Metro_Legtaifiya,21,17
Metro_AlAziziyah,Metro_Legtaifiya,22,17
Metro_AlAziziyah,Metro_Legtaifiya,23,1
Metro_AlAziziyah,Metro_Lusail,0,22
Metro_AlAziziyah,Metro_Lusail,1,39
Metro_AlAziziyah,Metro_Lusail,2,28
Metro_AlAziziyah,Metro_Lusail,3,11
Metro_AlAziziyah,Metro_Lusail,6,3
Metro_AlAziziyah,Metro_Lusail,7,10
Metro_AlAziziyah,Metro_Lusail,8,8
Metro_AlAziziyah,Metro_Lusail,9,46
Metro_AlAziziyah,Metro_Lusail,10,82
Metro_AlAziziyah,Metro_Lusail,11,227
Metro_AlAziziyah,Metro_Lusail,12,407
Metro_AlAziziyah,Metro_Lusail,13,405
Metro_AlAziziyah,Metro_Lusail,14,567
Metro_AlAziziyah,Metro_Lusail,15,536
Metro_AlAziziyah,Metro_Lusail,16,392
Metro_AlAziziyah,Metro_Lusail,17,253
Metro_AlAziziyah,Metro_Lusail,18,361
Metro_AlAziziyah,Metro_Lusail,19,946
Metro_AlAziziyah,Metro_Lusail,20,551
Metro_AlAziziyah,Metro_Lusail,21,228
Metro_AlAziziyah,Metro_Lusail,22,35
Metro_AlAziziyah,Metro_Lusail,23,1
Metro_AlAziziyah,Metro_MsheirebConcourse,0,43
Metro_AlAziziyah,Metro_MsheirebConcourse,1,72
Metro_AlAziziyah,Metro_MsheirebConcourse,2,18
Metro_AlAziziyah,Metro_MsheirebConcourse,3,5
Metro_AlAziziyah,Metro_MsheirebConcourse,6,3
Metro_AlAziziyah,Metro_MsheirebConcourse,7,15
Metro_AlAziziyah,Metro_MsheirebConcourse,8,26
Metro_AlAziziyah,Metro_MsheirebConcourse,9,58
Metro_AlAziziyah,Metro_MsheirebConcourse,10,148
Metro_AlAziziyah,Metro_MsheirebConcourse,11,164
Metro_AlAziziyah,Metro_MsheirebConcourse,12,198
